chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL3780219,CNc1nc(Nc2ccc(C)c(N)c2)ncc1C(=O)Nc1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1C,292.0,nM,6.534617148551582
CHEMBL3800481,CCOC(Cn1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21)OCC,2110.0,nM,5.675717544702307
CHEMBL3797933,Nc1nc2cc(-c3nn(CC4CCCC4)c4ncnc(N)c34)ccc2o1,4.7,nM,8.327902142064282
CHEMBL3797834,Nc1nc2cc(-c3nn(CC4CCCO4)c4ncnc(N)c34)ccc2o1,137.0,nM,6.863279432843593
CHEMBL3809935,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1OC1CCN(C(=O)c2ccncc2)CC1,126.0,nM,6.8996294548824375
CHEMBL3939150,Cc1ccc(C(=O)N2CCC(Oc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)CC2)cn1,116.0,nM,6.935542010773082
CHEMBL3969260,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1NC(=O)c1csc2c(N)ncnc12,2.0,nM,8.698970004336019
CHEMBL3954810,Cc1ccc2c(Nc3cccc(Cl)c3)nccc2c1NC(=O)c1csc2c(N)ncnc12,40.0,nM,7.3979400086720375
CHEMBL3944137,CC(=O)c1ccc(Nc2nccc3c(NC(=O)c4csc5c(N)ncnc45)c(C)ccc23)cc1,5.0,nM,8.301029995663981
CHEMBL3915720,Cc1ccc2c(Nc3ccc(F)c(Cl)c3)nccc2c1NC(=O)c1csc2c(N)ncnc12,71.0,nM,7.1487416512809245
CHEMBL3977543,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,23.0,nM,7.638272163982407
CHEMBL3822972,COc1cc2ncccc2cc1NC(=O)c1csc2cncnc12,50000.0,nM,4.301029995663981
CHEMBL4069365,CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,10000.0,nM,5.0
CHEMBL4066104,C=CC(=O)Nc1cc(Nc2ncc(C(=O)Nc3cc(NC(=O)c4cc(OC)c(OC)c(OC)c4)ccc3C)c(NC)n2)ccc1C,265.0,nM,6.576754126063192
CHEMBL4087478,CCC(=O)Nc1cc(Nc2ncc(C(=O)Nc3cc(NC(=O)c4cc(OC)c(OC)c(OC)c4)ccc3C)c(NC)n2)ccc1C,212.0,nM,6.673664139071248
CHEMBL4101411,CC(C)(C)c1cc(NC(=O)Nc2ccc(-n3nc(-c4ccc(OCCN5CCOCC5)cc4)c4c(N)ncnc43)cc2)no1,63.0,nM,7.200659450546418
CHEMBL4077561,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1ccc2ccnn2c1,13.1,nM,7.882728704344236
CHEMBL4087485,CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,38.3,nM,7.416801226031377
CHEMBL4103865,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccncn3)CC4)cc(C(F)(F)F)c2)CC1,10000.0,nM,5.0
CHEMBL4079610,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(Cc3cncnc3)CC4)cc(C(F)(F)F)c2)CC1,10000.0,nM,5.0
